ID,LON_LAT,frname,year,month,month_str,area_sum,count_fires,count_roads,MO_population,aspect,veg_category,7_days_SUM_APCP,kpo,7_days_AVG_RH,7_days_AVG_TMP,7_days_AVG_WIND_SPEED,dist_to_rivers,dist_to_railway,dist_to_roads,elevation
109,103.0 53.0,Черемховское,2013,4,апрель,8580.0,25,11,9.2764585957,86.2257013023,Поля,483.9,1465.9904022585,87.2846982759,7.6825,3.0310344828,15.2608341608,12.5360931371,1.502904348,520.6595744681
110,103.0 53.0,Черемховское,2013,5,май,1457.0,13,5,9.2764585957,70.6417938164,Редколесье,126.7,3941.7633593092,61.1297916667,15.8143333333,3.9675,15.2608341608,12.5360931371,1.502904348,520.6595744681
111,103.0 53.0,Черемховское,2013,6,июнь,22.0,1,1,9.2764585957,53.8579597473,Редколесье,45.9,723.069730308,65.70625,20.76125,3.825,15.2608341608,12.5360931371,1.502904348,520.6595744681
112,103.0 53.0,Черемховское,2013,9,сентябрь,22.0,1,1,9.2764585957,107.9044494629,Поля,8.9,88.5965949668,77.553125,10.34625,3.525,15.2608341608,12.5360931371,1.502904348,520.6595744681
113,103.0 53.0,Черемховское,2013,10,октябрь,263.0,2,2,9.2764585957,44.3750534058,Поля,14.9,148.8571024551,77.8614583333,5.0804166667,3.3333333333,15.2608341608,12.5360931371,1.502904348,520.6595744681
115,103.0 53.0,Черемховское,2014,5,май,1808.0,7,3,9.2764585957,89.0955013922,Пастбища,73.1,3647.96912698,48.7839285714,15.79875,4.0142857143,15.2608341608,12.5360931371,1.502904348,520.6595744681
116,103.0 53.0,Черемховское,2014,6,июнь,22.0,1,1,9.2764585957,263.2639770508,Поля,6.3,215.9242481561,59.496875,25.6675,2.6375,15.2608341608,12.5360931371,1.502904348,520.6595744681
117,103.0 53.0,Черемховское,2014,8,август,43.0,1,1,9.2764585957,59.2645111084,Поля,6.1,360.8432648887,67.775,24.87,2.88125,15.2608341608,12.5360931371,1.502904348,520.6595744681
119,103.0 53.0,Черемховское,2015,4,апрель,1143.0,11,5,9.2764585957,98.0824783913,Редколесье,85.2,311.6338220924,88.2747395833,5.2582291667,3.0041666667,15.2608341608,12.5360931371,1.502904348,520.6595744681
120,103.0 53.0,Черемховское,2015,5,май,327.0,3,2,9.2764585957,161.9778280531,Пастбища,23.2,1740.4328854185,51.3828125,13.03625,3.628125,15.2608341608,12.5360931371,1.502904348,520.6595744681
122,103.0 53.0,Черемховское,2016,4,апрель,841.0,5,3,9.2764585957,142.0766654395,Поля,72.2,89.232406148,89.56375,4.0995,3.5675,15.2608341608,12.5360931371,1.502904348,520.6595744681
123,103.0 53.0,Черемховское,2016,6,июнь,26.0,1,1,9.2764585957,281.5048217773,Поля,37.0,423.8344828929,60.703125,25.59125,3.2375,15.2608341608,12.5360931371,1.502904348,520.6595744681
124,103.0 53.0,Черемховское,2016,9,сентябрь,51.0,1,1,9.2764585957,267.7688293457,Кустарники,3.4,167.3650994781,78.628125,17.4975,2.7625,15.2608341608,12.5360931371,1.502904348,520.6595744681
